id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54049210,"Donaustadt 2BR w/ Balcony, nr Kirschblütenpark",385064248,Blueground,,Donaustadt,48.250486,16.431318,Entire home/apt,83,30,0,,,234,353,0,
53830105,Central Anna's Apartment in Viennes Brunnenmarkt,111086604,Ana,,Ottakring,48.21165,16.33422,Entire home/apt,81,2,18,2022-11-25,1.52,1,350,18,
54350719,Jimmy's Apartments Dandelion (2-BRM Suite Balcony),151274765,Jimmys,,Favoriten,48.1752,16.35643,Entire home/apt,178,2,7,2022-11-20,0.86,17,357,7,
54351660,"Leopoldstadt 1BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.20685,16.43092,Entire home/apt,127,30,0,,,234,286,0,
54351794,"Leopoldstadt 2BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.2069,16.43089,Entire home/apt,92,30,0,,,234,243,0,
54351804,"Leopoldstadt 1BR w/ Rooftop, Gym & Sauna",385064248,Blueground,,Leopoldstadt,48.20724,16.42973,Entire home/apt,87,30,1,2022-06-26,0.18,234,313,1,
54353099,"Dreamy Blossom""Danube""Studio",4865438,Daniela,,Leopoldstadt,48.22293,16.40066,Entire home/apt,65,7,5,2022-09-30,0.54,23,282,5,
53836075,2 Zimmer Wohnung mit großen eigenen Garten,436092716,Maria,,Ottakring,48.21854,16.31473,Entire home/apt,59,4,10,2022-10-11,1.16,1,256,10,
54051651,"Luxus Wohnung im 1 .Bezirk  in Wien, mit Parkplatz",93838970,Luba,,Innere Stadt,48.2154,16.36771,Private room,128,2,19,2022-12-04,2.38,1,347,19,
54355110,Cozy Apartment close to the central station,77076005,Kaylee,,Margareten,48.18765,16.35069,Entire home/apt,127,1,47,2022-12-11,4.45,30,122,47,
549066730419169751,Apartment Huglgasse Comfort,2816192,Martin,,Rudolfsheim-Fnfhaus,48.19876,16.32376,Entire home/apt,102,2,0,,,94,140,0,
54356871,Gesamte Unterkunft in Zentrumsnähe Top 10,53178880,Yoiset Und Markus,,Brigittenau,48.22996,16.36732,Entire home/apt,82,1,19,2022-12-04,1.75,8,302,19,
549074611941408950,Friedensbrücke Wohnung nahe U4,428112605,Michael,,Brigittenau,48.23016,16.36895,Entire home/apt,82,2,18,2022-11-01,1.70,2,348,18,
54052258,Special Vintage Viennese Apt. - 12min f Downtown,404652017,Bakir,,Margareten,48.1825,16.3602,Entire home/apt,168,1,29,2022-12-11,2.51,127,359,29,
54362477,Geräumige Altbauwohnung in Wiener Trendviertel,1315010,Michael,,Brigittenau,48.23153,16.37296,Entire home/apt,66,2,59,2022-12-09,5.64,2,244,59,
54052927,★ VIE-Living | studio | 3min Kagraner Platz | 4P ★,104381891,Tim,,Donaustadt,48.250324,16.440023,Entire home/apt,73,2,8,2022-11-11,0.69,3,349,8,
54373041,Fantastische Wohnung direkt am Augarten,2418146,Gisella,,Brigittenau,48.228638,16.374184,Entire home/apt,125,7,0,,,17,0,0,
54373675,Moderne lichtdurchflutete Wohnung am Augarten,2418146,Gisella,,Brigittenau,48.228642,16.374226,Entire home/apt,85,14,0,,,17,221,0,
549656269003632885,"Helle 2 Zimmer Altbauwohnung, Loggia, im Zentrum",8625077,Petra,,Landstra§e,48.20448,16.39602,Entire home/apt,35,90,0,,,1,96,0,
54381700,Family apartment close to the main train station,42766333,Viktor,,Favoriten,48.17843,16.37525,Entire home/apt,140,3,22,2022-12-04,2.64,6,265,22,
549665247545891692,Jimmy's Apartments Lory-1BRM Suite,151274765,Jimmys,,Simmering,48.17704,16.40959,Entire home/apt,155,2,6,2022-05-02,0.65,17,354,6,
54060258,Cozy and central apartment,438130869,Biljana,,Mariahilf,48.19282,16.34879,Entire home/apt,38,10,1,2022-02-28,0.10,1,314,1,
54381895,Apartment next to the maintrainstation with 4 beds,42766333,Viktor,,Favoriten,48.17856,16.37512,Entire home/apt,114,3,19,2022-11-04,2.22,6,342,19,
54062626,Light-flooded room with balcony in the city center,82841598,Helena,,Innere Stadt,48.21235,16.37249,Private room,90,1,36,2022-10-09,3.78,1,255,36,
54062942,Excellent Studio near Hauptbahnhof and Old City!,391685367,Artem,,Margareten,48.18524,16.36324,Entire home/apt,53,1,133,2022-11-30,11.50,17,228,133,
54076955,"Leopoldstadt Studio w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.20518,16.43091,Entire home/apt,70,30,0,,,234,360,0,
54076988,"Leopoldstadt 1BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.20528,16.42967,Entire home/apt,91,30,0,,,234,246,0,
54076995,"Leopoldstadt 2BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.20493,16.42942,Entire home/apt,121,30,0,,,234,339,0,
550291690267065063,Penthouse-Wohnung mit grossem Balkon,3215088,Sylvie,,Whring,48.22364,16.33872,Entire home/apt,80,3,5,2022-12-04,1.22,1,309,5,
54382244,Herrschaftliches Wohnen mit urbanem Flair,384050980,Homes By Guestia,,Neubau,48.2001,16.34811,Entire home/apt,79,30,0,,,27,160,0,
550517499112233650,Gemütliches Studio Nähe Zentrum,401222234,Isabel,,Landstra§e,48.19922,16.39489,Entire home/apt,77,2,25,2022-11-07,3.01,2,257,25,
54383874,Stylish serviced apartment near city center,14070533,Prestige Apartments Sabrina,,Josefstadt,48.21483,16.35055,Entire home/apt,69,3,0,,,45,0,0,
550551823696166083,the bells of St. Stephen´s cathedral,245370439,Ursula,,Innere Stadt,48.20844,16.37382,Entire home/apt,166,1,44,2022-11-06,4.78,4,109,44,
54086858,Entire luxury apartment with terrace,302274498,Shahid,,Meidling,48.18022,16.34493,Private room,60,1,4,2022-04-25,0.37,2,0,4,
